smiles,klebsiella_pneumoniae
CCNN,0.0023922594264149666
CCO,0.0018581704935058951
CCS(=O)(=O)CC,0.0009554650168865919
CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)COC(=O)[C@@H]12,0.002309769857674837
CC[C@@H](C)O,0.0008681367617100477
CC[C@H](C)C=O,0.0010560955852270126
CC[C@H](C)C[C@H](C)CCCCCCCCC=O,0.0009867456974461675
CC[C@H](C)O,0.0008681367617100477
CC[C@H](N)CO,0.0008166087791323662
CN,0.004006605129688978
CN(C)Cl,0.010764339938759804
CN(C)N=Nc1cnc[nH]1,0.0013415032299235463
CN(C)[C@@H]1C(O)=C(C=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.14997519552707672
CN(C=O)N=O,0.06393155455589294
CN(C=O)[NH2+][O-],0.0671825259923935
CN(c1ccon1)P(=O)(O)O,0.004564440343528986
CN(c1ccon1)P(=O)([O-])O,0.0039255376905202866
CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@H]1SS3,0.1820252686738968
CN1C(=O)[C@]23C[C@@]4([C@]56C[C@@]78SS[C@@H](C(=O)N7[C@@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@H]4N2C(=O)[C@H]1SS3,0.00581135880202055
CN1CCCC1,0.0009097344009205699
CN1CCN(C2Cc3ccccc3Sc3ccccc32)CC1,0.0022638083901256323
CN1CCNC=N1,0.001094246399588883
CN1CCNCC1,0.0008724128128960729
CN1CCOCC1,0.0007984833791851997
CN1COc2cc(F)cc3c(=O)ccn1c23,0.004910130985081196
CN1[C@@H]2CCC[C@H]1CC2,0.000758517999202013
CNC,0.0018791330512613058
CNCN,0.001636149943806231
CO,0.004084390588104725
CO/N=C(\C=O)c1ccco1,0.0018458501435816288
CO/N=C(\C=O)c1csc(N)n1,0.0027684166561812162
CO/N=C(\C=O)c1nsc(N)n1,0.005199221894145012
CO/N=C1/CCNC1,0.0007951834704726934
CO/N=C1/[C@H](C)C[C@@](C)(O)C[C@@H](C)C[C@@H](C)C(=O)OC[C@@](C)(O)[C@H](O)[C@H]1C,0.0016164513071998954
COC1=C(N)C(=O)c2ncccc2C1=O,0.008311103098094463
CON(C)C,0.0012470106594264507
CON=C(C=O)c1ccco1,0.0019876211881637573
CON=C(C=O)c1csc(N)n1,0.003453996265307069
CON=C1CCNC1,0.0007415444706566632
COP(O)(=S)OC,0.01101505383849144
CO[C@@H]1[C@@H](O)[C@@H](O)COC1(C)C,0.0007270532078109682
CO[C@@H]1[C@@H](O)[C@@H](O)[C@@H](Oc2ccc3c(O)c(N)c(=O)oc3c2C)OC1(C)C,0.01201500091701746
CS,0.006978082936257124
CS(=O)(=O)N1CCNC1=O,0.001285398262552917
CS(=O)(=O)O,0.003862026147544384
CS(=O)(=O)[O-],0.004371345043182373
CS(=O)(=O)c1ccccc1,0.0011857227655127645
CS(C)(=O)=O,0.0030950410291552544
C[C@@H](N)C=O,0.0018103854963555932
C[C@@H](N)CC[C@H](N)C(=O)O,0.0005822980310767889
C[C@@H](O)CC=O,0.0013963062083348632
C[C@@H](O)CCN,0.0007265381282195449
