smiles,klebsiella_pneumoniae,heavy_atoms
O=C(O)C1=CCSC2CC(=O)N12,0.0046203332021832,12
O=C(O)C1=CCS[C@@H]2CC(=O)N12,0.0046203332021832,12
O=C(O)[C@H](O)[C@@H](O)C[C@H](O)CO,0.0006943686748854,12
O=C([O-])C1=C(C[n+]2ccccc2)CSC2CC(=O)N12,0.0327024683356285,19
O=C([O-])C1=C(C[n+]2ccccc2)CS[C@@H]2CC(=O)N12,0.0327024683356285,19
O=C([O-])C1=C(S)CS[C@@H]2CC(=O)N12,0.0138043649494647,13
O=C/C(=N\O)c1nsc(NP(=O)([O-])O)n1,0.0176812186837196,15
O=C1C=CNCC1,0.0015837704995647,7
O=C1CC(=O)NN1,0.0020076285582035,7
O=C1CC2(CCCC2)CC(=O)N1,0.0009134954889304,12
O=C1CC2OCCN12,0.0012679500505328,8
O=C1CCCN1,0.0011579080019146,6
O=C1CCN1S(=O)(=O)O,0.0491938143968582,9
O=C1CCN1S(=O)(=O)[O-],0.0255146324634552,9
O=C1CCNc2ccc(F)cc21,0.0015535240527242,12
O=C1CCO[C@H]2O[C@@H]3[C@@H](O)C[C@H](O)C[C@H]3O[C@@]12O,0.0124173732474446,18
O=C1CCc2ccccc21,0.0013333102688193,10
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0.142057403922081,17
O=C1C[C@H]2OCCN12,0.0012679500505328,8
O=C1N2CCC[C@H](C2)N1OS(=O)(=O)O,0.0128982365131378,14
O=C1NCCN1,0.0012672923039644,6
O=C1NCCNC1=O,0.0020074865315109,8
O=C1NCCO1,0.0016128888819366,6
O=C1NCNC12CCNCC2,0.000667160085868,11
O=C1NN=Cc2c[nH]c3cccc1c23,0.0028844065964221,14
O=C1OC(O)c2ccccc21,0.0040866616182029,11
O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,0.1688806414604187,16
O=C1[O][Sb]2[O]CC3[O][Sb]([O]CC1[O]2)[O]C3=O,0.018993416801095,16
O=CC1=C(S)S[C@@H]2CC(=O)N12,0.0088614439591765,11
O=CC1=C([C@H]2CCCO2)S[C@@H]2CC(=O)N12,0.002899499842897,15
O=CC1=CC(O)C(O)C(O)C1,0.0012392636854201,11
O=CCC(=O)O,0.0031322033610194,6
O=CCC(=O)[O-],0.0034926338121294,6
O=CCCC(=O)O,0.0017538517713546,7
O=CCCC(=O)[O-],0.0017760994378477,7
O=CCCC=O,0.0014645741321146,6
O=CCS(=O)(=O)[O-],0.0078097581863403,7
O=CN/N=C/c1c[n+]([O-])c2ccccc2[n+]1[O-],0.2214855700731277,17
O=CN/N=C/c1ccc([N+](=O)[O-])o1,0.2267010807991027,13
O=C[C@@H](O)CO,0.0026149279437959,6
O=Cn1c(=O)[nH]c2ccccc21,0.004399215336889,12
O=S(=O)(O)c1ccc(O)cc1,0.0021156421862542,11
O=S(=O)(c1ccccc1)c1ccccc1,0.0006579983164556,15
O=[N+]([O-])c1cc([SH](=O)=O)ccc1Cl,0.0300632286816835,13
O=[N+]([O-])c1cccc2c1no[n+]2[O-],0.1761135905981063,13
O=[N+]([O-])c1ccccc1,0.0074204611591994,9
O=[N+]([O-])c1ccccc1Cl,0.0248093381524086,10
