,mole,smiles
421,NS(=O)(=O)c1ccc(Br)cc1,NS(=O)(=O)c1ccc(Br)cc1
422,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC#CBr,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC#CBr
423,CCCNC(=O)[C@H](NC(C)=O)[C@@H](C)O,CCCNC(=O)[C@H](NC(C)=O)[C@@H](C)O
424,C=CCNC(=O)[C@H](CC(N)=O)NC(C)=O,C=CCNC(=O)[C@H](CC(N)=O)NC(C)=O
425,CCC(N)=[NH2+],CCC(N)=[NH2+]
426,Nc1cncnc1,Nc1cncnc1
427,Cc1ccncc1NC(=O)CNc1cc[nH+]c2ccccc12,Cc1ccncc1NC(=O)CNc1cc[nH+]c2ccccc12
428,O=c1cccc[nH]1,O=c1cccc[nH]1
429,C=C(C(=O)Nc1ccccc1)c1cccnc1,C=C(C(=O)Nc1ccccc1)c1cccnc1
430,CS(=O)(=O)NCCN1CCCc2ccc(S(N)(=O)=O)cc21,CS(=O)(=O)NCCN1CCCc2ccc(S(N)(=O)=O)cc21
431,CC(C)(C)NC(=O)[C@@H](Nc1ccc(CCC#N)cc1)c1cccnc1,CC(C)(C)NC(=O)[C@@H](Nc1ccc(CCC#N)cc1)c1cccnc1
432,O=S1(=O)CC(O)C1,O=S1(=O)CC(O)C1
433,CC(=O)N1CC[NH+](CCNC(=O)c2cccc3ccccc23)CC1,CC(=O)N1CC[NH+](CCNC(=O)c2cccc3ccccc23)CC1
434,CC(=O)N1CC[NH+](Cc2cnc(Cc3ccccc3)s2)CC1,CC(=O)N1CC[NH+](Cc2cnc(Cc3ccccc3)s2)CC1
435,CC(=O)N[C@@H](C)c1cc(F)cc(Cl)c1,CC(=O)N[C@@H](C)c1cc(F)cc(Cl)c1
436,N#Cc1cncc(NC(=O)Cc2cccnc2)c1,N#Cc1cncc(NC(=O)Cc2cccnc2)c1
437,O=C(Cc1cccc(Cl)c1)Nc1cccnc1,O=C(Cc1cccc(Cl)c1)Nc1cccnc1
438,O=C(Nc1cccnc1)N(CCC1CCCCC1)c1cccc(Cl)c1,O=C(Nc1cccnc1)N(CCC1CCCCC1)c1cccc(Cl)c1
439,O=C(Nc1cccnc1)N(CC[NH+]1CCOCC1)c1cccc(Cl)c1,O=C(Nc1cccnc1)N(CC[NH+]1CCOCC1)c1cccc(Cl)c1
440,Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1
441,Cc1ccc(CC(=O)Nc2cnccc2C)cc1,Cc1ccc(CC(=O)Nc2cnccc2C)cc1
442,CCC(=O)N1CC[NH+](Cc2ccc(F)cc2)CC1,CCC(=O)N1CC[NH+](Cc2ccc(F)cc2)CC1
443,CC(=O)N1CC[N@H+](Cc2cccc(Cl)c2)[C@@H](CC(C)C)C1,CC(=O)N1CC[N@H+](Cc2cccc(Cl)c2)[C@@H](CC(C)C)C1
444,Cc1ccncc1NC(=O)Cc1cncc(C#N)c1,Cc1ccncc1NC(=O)Cc1cncc(C#N)c1
445,Cc1cc(NC(=O)Cc2cncnc2)cc(O[C@H]2CC(=O)N2)c1,Cc1cc(NC(=O)Cc2cncnc2)cc(O[C@H]2CC(=O)N2)c1
446,O=C(Nc1nncn1C1CC1)[C@@H]1CCOc2ccc(Cl)cc21,O=C(Nc1nncn1C1CC1)[C@@H]1CCOc2ccc(Cl)cc21
447,Cc1ccncc1NC(=O)[C@@H](c1cccc(Cl)c1)C(C)C,Cc1ccncc1NC(=O)[C@@H](c1cccc(Cl)c1)C(C)C
448,CC[C@H](C(=O)Nc1cnncc1C)c1cccc(Cl)c1,CC[C@H](C(=O)Nc1cnncc1C)c1cccc(Cl)c1
449,Cc1ccnc(C)c1NC(=O)Cc1cccc(Cl)c1,Cc1ccnc(C)c1NC(=O)Cc1cccc(Cl)c1
450,O=C(Nc1cnccc1CO)[C@@H]1COc2ccc(Cl)cc21,O=C(Nc1cnccc1CO)[C@@H]1COc2ccc(Cl)cc21
451,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cc(F)ccc12
452,Cc1ccncc1NC(=O)Cc1cccc(O)c1,Cc1ccncc1NC(=O)Cc1cccc(O)c1
453,O=C(Cc1cccnc1)Nc1cccc(O[C@H]2CC(=O)N2)c1,O=C(Cc1cccnc1)Nc1cccc(O[C@H]2CC(=O)N2)c1
454,C[C@@H](C(=O)Nc1cnccc1-n1cccn1)c1cccc(Cl)c1,C[C@@H](C(=O)Nc1cnccc1-n1cccn1)c1cccc(Cl)c1
455,O=C(Cc1cncnc1)Nc1cc(F)cc(O[C@H]2CC(=O)N2)c1,O=C(Cc1cncnc1)Nc1cc(F)cc(O[C@H]2CC(=O)N2)c1
456,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1
457,Cc1ccncc1NC(=O)[C@H](c1cccc(Cl)c1)[NH+](C)C,Cc1ccncc1NC(=O)[C@H](c1cccc(Cl)c1)[NH+](C)C
458,Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1,Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1
