smiles,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CCCN(CC(=O)NC=1C=CC(Cl)=CC1Cl)C(=O)C=2C=C3C(=O)NC=NC3=CN2,Z1745991041,434.276,434.276,1.434,-5.468,2,5,103.76,6,https://real.enamine.net/public-enum-files/Z1745991041
CC=1C=CC(C(=O)NCC2=NN(C)C=3C=CC=CC23)=C(Cl)C1,Z1856648288,313.782,313.782,2.912,-4.683,1,2,46.92,4,https://real.enamine.net/public-enum-files/Z1856648288
O=C(NC=1C=CN(N1)C=2C=CC=CC2Cl)N3CCN(CC3)C(=O)C=4C=CC=CC4F,Z1451989629,427.86,427.86,3.522,-5.816,1,3,70.47,3,https://real.enamine.net/public-enum-files/Z1451989629
CC(=O)NC=1C=CC=C(C1)NC(=O)N2CCC(CC2)C3CCOCC3,Z1499220784,345.437,345.437,1.02,-2.91,2,3,70.67,6,https://real.enamine.net/public-enum-files/Z1499220784
CC=1NC=CC1C(=O)NC2CCN(CC2)C(=O)C3=CC=CC=C3F,Z1347867485,329.37,329.37,0.578,-4.218,2,2,65.2,5,https://real.enamine.net/public-enum-files/Z1347867485
CC(=O)NCCC=1C=C(C=CC1F)C2=CSC(=N2)NC=3C=CC(F)=CC3,Z1347869462,373.422,373.422,4.334,-5.525,2,3,54.02,6,https://real.enamine.net/public-enum-files/Z1347869462
CC(C1=CC=2C=CC=CC2O1)N(C)C(=O)C3=CN(C)N=C3C(C)(C)C,Z2203735512,339.432,339.432,3.663,-3.684,0,2,51.27,5,https://real.enamine.net/public-enum-files/Z2203735512
CC1=CC=C(CNC(=O)NC2(C)CC=3C=CC=CC3C2)C(=O)N1C,Z1906020627,325.406,325.406,1.992,-2.619,2,2,61.44,3,https://real.enamine.net/public-enum-files/Z1906020627
O=C(C1=CC=2C=CC=CC2OC1=O)N3CCN(C=4C=CC=CC43)C5CC5,Z1745524592,346.38,346.38,2.841,-5.531,0,3,49.85,2,https://real.enamine.net/public-enum-files/Z1745524592
CCC=1C=CC(=CC1)C(C)NC(=O)CN2C(=O)NC3=CC=CC=C3S2(=O)=O,Z1348312789,387.455,387.455,2.87,-4.934,2,4,95.58,5,https://real.enamine.net/public-enum-files/Z1348312789
